

127.0.0.1|March 16, 2008, 2:31 am|Enters admincenter
127.0.0.1|March 16, 2008, 2:32 am|New poll was created with question: wew
127.0.0.1|March 16, 2008, 2:32 am|Enters Poll
127.0.0.1|March 16, 2008, 2:32 am|Vote received on tidak
127.0.0.1|March 16, 2008, 2:32 am|Enters Poll
127.0.0.1|March 16, 2008, 2:32 am|Vote received on ya
127.0.0.1|March 16, 2008, 2:32 am|Views results
127.0.0.1|March 16, 2008, 2:32 am|Enters Poll
127.0.0.1|March 16, 2008, 2:33 am|Enters admincenter
127.0.0.1|March 16, 2008, 2:33 am|New poll was created with question: apakah nganu
127.0.0.1|March 16, 2008, 2:33 am|Enters Poll
127.0.0.1|March 16, 2008, 2:33 am|Vote received on ya
127.0.0.1|March 16, 2008, 2:34 am|Enters Poll
127.0.0.1|March 16, 2008, 2:34 am|Vote received on tidak
127.0.0.1|March 16, 2008, 2:34 am|Enters Poll
127.0.0.1|March 16, 2008, 2:34 am|Vote received on ya
127.0.0.1|March 16, 2008, 2:34 am|Views results
127.0.0.1|March 16, 2008, 2:35 am|Views results
127.0.0.1|March 16, 2008, 2:35 am|Views results
127.0.0.1|March 16, 2008, 2:35 am|Enters Poll
127.0.0.1|March 16, 2008, 2:35 am|Vote received on tidak
127.0.0.1|March 16, 2008, 2:36 am|Enters Poll
127.0.0.1|March 16, 2008, 2:36 am|Vote received on ya
127.0.0.1|March 16, 2008, 2:37 am|Enters Poll
127.0.0.1|March 16, 2008, 2:37 am|Vote received on tidak
127.0.0.1|March 16, 2008, 2:37 am|Enters Poll
127.0.0.1|March 16, 2008, 2:38 am|Clicked vote button without choosing an item
127.0.0.1|March 16, 2008, 2:38 am|Enters Poll
127.0.0.1|November 11, 2008, 1:54 am|Enters admincenter
127.0.0.1|November 11, 2008, 1:54 am|WRONG PASSWORD ENTERED IN ADMINCENTER
127.0.0.1|November 11, 2008, 1:54 am|Enters admincenter
127.0.0.1|November 11, 2008, 1:54 am|WRONG PASSWORD ENTERED IN ADMINCENTER
127.0.0.1|November 11, 2008, 1:54 am|Enters admincenter
127.0.0.1|November 11, 2008, 1:54 am|WRONG PASSWORD ENTERED IN ADMINCENTER
127.0.0.1|November 11, 2008, 1:54 am|Enters admincenter
127.0.0.1|November 11, 2008, 1:55 am|New poll was created with question: wew
127.0.0.1|November 11, 2008, 1:55 am|Enters Poll
127.0.0.1|November 11, 2008, 1:55 am|Vote received on qwewq
127.0.0.1|November 11, 2008, 1:55 am|Enters Poll
127.0.0.1|November 11, 2008, 1:55 am|Vote received on qew
127.0.0.1|November 11, 2008, 1:55 am|Views results
127.0.0.1|November 11, 2008, 1:57 am|Enters Poll
127.0.0.1|November 11, 2008, 1:57 am|Enters admincenter
127.0.0.1|November 11, 2008, 1:58 am|Clicked vote button without choosing an item
127.0.0.1|November 11, 2008, 1:58 am|Enters Poll
